标题,链接
习近平对防汛救灾工作作出重要指示,http://baijiahao.baidu.com/s?id=1870032447094984391
铭记历史 传承和弘扬伟大抗战精神,http://baijiahao.baidu.com/s?id=1870016938296306150
重温总书记讲话 铭记历史，吾辈自强！,http://baijiahao.baidu.com/s?id=1870030279342056895
“我国广大科技工作者是大有作为的”,https://mbd.baidu.com/newspage/data/videolanding?nid=sv_10000840775937660119
直击广西横州救灾一线,https://news.cctv.com/2026/07/07/ARTIK8LaDjcLby5NoTp4Z8n5260707.shtml 
教育强国建设开新局见实效, https://www.peopleapp.com/column/30052582899-500007583304 
这封信，写给2026届高校毕业生, https://mp.weixin.qq.com/s/Du-9h-ro9Hbb8Foasuc1iA 
“中国市场是‘必选项’”,https://www.peopleapp.com/column/30052582908-500007583313 
应急管理部持续调度部署各地抢险救援工作,https://app.cctv.com/special/m/livevod/index.html?vtype=2&guid=cd3f8c0a063543c89e4b2241c844101c&vsetId=C10616 
6月份中国物流业景气指数加快扩张, https://content-static.cctvnews.cctv.com/snow-book/video.html?item_id=14510144952462888608&t=1783337468393&toc_style_id=video_default&track_id=653D3ABE-7DB2-4691-9341-E4FCE60FF95F_805034087807&share_to=copy_url 
方寸展厅藏山河——走进青海省自然资源博物馆, https://www.iziran.net/h5/news.html?id=5484055 
“重工业”爱上了“轻直播”,https://m.nbd.com.cn/shendu/2026-07-06/4455416.html
防汛科普｜雨季来袭 请查收这份避险指南,https://share.nen.com.cn/liaoning/network/liaoningnews/lnnewsyuanchuang/2026/07/07/929052428211328631.shtml 
从炮弹坑里长出来的导弹头,https://www.rmlt.com.cn/2026/0707/752917.shtml
国际人士盛赞“中国之治”：赋能全球共同繁荣, http://news.china.com.cn/2026-07/07/content_118586146.shtml 
视频丨日本扩军逆流敲响亚太和平警钟,https://content-static.cctvnews.cctv.com/snow-book/index.html?item_id=16640772755237497551&toc_style_id=feeds_default&share_to=copy_url&track_id=e0326c67-3887-470b-8a28-1a6952ff3dc2 
两岸青年以科技为桥 携手创未来, https://news.cri.cn/20260706/c8d476a5-29be-ea53-366b-314aa618118c.html 
专题｜探访三江源,https://mbd.baidu.com/newspage/data/mdpage?tag=8&id=20440
北京网站辟谣平台,http://www.bjjubao.org.cn/node_1606.html
互联网联合辟谣平台,https://www.piyao.org.cn/
航拍六蓝水库坝体缺口：下游村镇受淹严重,https://mbd.baidu.com/newspage/data/videolanding?nid=sv_6994309222664407308
多方回应广西横州洪涝致养殖蛇外窜 村民：身边有十几位村民被咬 送医困难,https://mbd.baidu.com/newspage/data/videolanding?nid=sv_4916081415602869016
航拍湖北黄冈龙卷风受灾现场：房屋顶棚被刮掉 地面一片狼藉,https://mbd.baidu.com/newspage/data/videolanding?nid=sv_4516542679611478180
广西因灾死亡6人失联11人,https://www.baidu.com/s?wd=%E5%B9%BF%E8%A5%BF%E5%9B%A0%E7%81%BE%E6%AD%BB%E4%BA%A16%E4%BA%BA%E5%A4%B1%E8%81%9411%E4%BA%BA
洪水后蛇出逃 医院：血清带不进去,https://www.baidu.com/s?wd=%E6%B4%AA%E6%B0%B4%E5%90%8E%E8%9B%87%E5%87%BA%E9%80%83%20%E5%8C%BB%E9%99%A2%EF%BC%9A%E8%A1%80%E6%B8%85%E5%B8%A6%E4%B8%8D%E8%BF%9B%E5%8E%BB
强对流天气如何避险？紧急提示,https://www.baidu.com/s?wd=%E5%BC%BA%E5%AF%B9%E6%B5%81%E5%A4%A9%E6%B0%94%E5%A6%82%E4%BD%95%E9%81%BF%E9%99%A9%EF%BC%9F%E7%B4%A7%E6%80%A5%E6%8F%90%E7%A4%BA
比利时：我看谁还打电话,https://www.baidu.com/s?wd=%E6%AF%94%E5%88%A9%E6%97%B6%EF%BC%9A%E6%88%91%E7%9C%8B%E8%B0%81%E8%BF%98%E6%89%93%E7%94%B5%E8%AF%9D
超强台风“巴威”直径已1300公里,https://www.baidu.com/s?wd=%E8%B6%85%E5%BC%BA%E5%8F%B0%E9%A3%8E%E2%80%9C%E5%B7%B4%E5%A8%81%E2%80%9D%E7%9B%B4%E5%BE%84%E5%B7%B21300%E5%85%AC%E9%87%8C
广西防汛救灾发布会,https://www.baidu.com/s?wd=%E5%B9%BF%E8%A5%BF%E9%98%B2%E6%B1%9B%E6%95%91%E7%81%BE%E5%8F%91%E5%B8%83%E4%BC%9A
佛得角邀国足比赛被婉拒？足协回应,https://www.baidu.com/s?wd=%E4%BD%9B%E5%BE%97%E8%A7%92%E9%82%80%E5%9B%BD%E8%B6%B3%E6%AF%94%E8%B5%9B%E8%A2%AB%E5%A9%89%E6%8B%92%EF%BC%9F%E8%B6%B3%E5%8D%8F%E5%9B%9E%E5%BA%94
日本品牌拿七七当七夕引众怒,https://www.baidu.com/s?wd=%E6%97%A5%E6%9C%AC%E5%93%81%E7%89%8C%E6%8B%BF%E4%B8%83%E4%B8%83%E5%BD%93%E4%B8%83%E5%A4%95%E5%BC%95%E4%BC%97%E6%80%92
哈兰德“狂人食谱” 普通人能照搬吗,https://www.baidu.com/s?wd=%E5%93%88%E5%85%B0%E5%BE%B7%E2%80%9C%E7%8B%82%E4%BA%BA%E9%A3%9F%E8%B0%B1%E2%80%9D%20%E6%99%AE%E9%80%9A%E4%BA%BA%E8%83%BD%E7%85%A7%E6%90%AC%E5%90%97
知名经济学家高善文去世,https://www.baidu.com/s?wd=%E7%9F%A5%E5%90%8D%E7%BB%8F%E6%B5%8E%E5%AD%A6%E5%AE%B6%E9%AB%98%E5%96%84%E6%96%87%E5%8E%BB%E4%B8%96
Android版下载,http://downpack.baidu.com/baidunews_AndroidPhone_1014720b.apk
iPhone版下载,https://itunes.apple.com/cn/app/id482820737
